classe;cote_range;description
N;N5220.A-Z;Special. By collector, A-Z
N;N5230.A-Z;Other American. By country, A-Z
N;N5240;General works
N;N5245;General works
N;N5247.A-Z;Special. By collector, A-Z
N;N5250;General works
N;N5252.A-Z;Special. By collector, A-Z
N;N5255;General works
N;N5255.2.A-Z;Special. By collector, A-Z
N;N5256;General works
N;N5256.2.A-Z;Special. By collector, A-Z
N;N5257;General works
N;N5258.A-Z;Special. By collector, A-Z
N;N5260;General works
N;N5262.A-Z;Special. By collector, A-Z
N;N5265;General works
N;N5267.A-Z;Special. By collector, A-Z
N;N5270;General works
N;N5271.A-Z;Special. By collector, A-Z
N;N5272;General works
N;N5272.2.A-Z;Special. By collector, A-Z
N;N5273;General works
N;N5273.2.A-Z;Special. By collector, A-Z
N;N5274;General works
N;N5274.2.A-Z;Special. By collector, A-Z
N;N5275;General works
N;N5275.2.A-Z;Special. By collector, A-Z
N;N5276;General works
N;N5276.2.A-Z;Special. By collector, A-Z
N;N5277;General works
N;N5277.2.A-Z;Special. By collector, A-Z
N;N5278;General works
N;N5278.2.A-Z;Special. By collector, A-Z
N;N5279;General works
N;N5279.2.A-Z;Special. By collector, A-Z
N;N5280.A-Z;Other European countries. By country, A-Z
N;N5284;General works
N;N5285.A-Z;By region or country, A-Z
N;N5289;General works
N;N5290.A-Z;By region or country, A-Z
N;N5295;General works
N;N5296.A-Z;Special. By collector, A-Z
N;N5297;General works
N;N5298.A-Z;Special. By collector, A-Z
N;N5299.A-Z;Pacific islands. By collector, A-Z
N;N5300;General works
N;N5301;Illustrations
N;N5302;Compends
N;N5303;General special
N;N5305;General works
N;N5306;Chronological lists
N;N5308;Juvenile works
N;N5310;General works
N;N5310.5.A-Z;Special continents, regions, countries, etc., A-Z
N;N5310.7;Periodicals. Societies. Congresses
N;N5310.75.A-Z;United States. By city and museum, A-Z
N;N5310.8.A-Z;Other countries. By country and city, A-Z
N;N5310.9.A-Z;Private collections. By collector, A-Z
N;N5311;General works
N;N5312;Periodicals. Societies. Congresses. Collections
N;N5313;General works
N;N5315;Ancient and medieval art
N;N5320;Periodicals
N;N5325;Societies
N;N5327;Congresses
N;N5328;Dictionaries
N;N5329;History and method of artistic archaeology
N;N5330;General works
N;N5331;Folios
N;N5333;General special
N;N5334;Pictorial works
N;N5335.A-Z;United States. By city and museum, A-Z
N;N5336.A-Z;Other countries. By country and city, A-Z
N;N5337.A-Z;Private collections. By collector, A-Z
N;N5340;Miscellaneous groups of countries
N;N5343;Ancient Oriental art (General)
N;N5345;Classic Orient (Egypt and southwestern Asia)
N;N5350;General works
N;N5351;Folios
N;N5360;Bactria
N;N5370;Chaldea. Babylonia. Assyria. Mesopotamia. Elam. Sumer
N;N5380;Ninevah
N;N5385;Hittite art
N;N5390;Persia. Media
N;N5410;General works
N;N5420;Carthage
N;N5430;Cyprus
N;N5440;Sardinia
N;N5460;Judea. Syria
N;N5470;Arabia
N;N5475;Aegean Sea Region
N;N5480;General works
N;N5490;Cappadocia
N;N5510;Galatia
N;N5520;Gordion
N;N5530;Lycia
N;N5540;Mysia
N;N5545;Pergamum
N;N5550;Phrygia
N;N5560;Troy (Ilium)
N;N5603.A-Z;United States. By city and museum, A-Z
N;N5604.A-Z;Other countries. By country and city, A-Z
N;N5605;Collected works
N;N5610;Treatises
N;N5613;General special
N;N5615;Pictorial works
N;N5630;General works
N;N5633;General special
N;N5634.A-Z;Catalogs of collections. By collection, A-Z
